time(s),rem_pkt,rem_bytes,q_pkt,q_bytes,q_ms, lost, est-bw(kbps),txed(kbps),rxed(kbps),topo(kbps), corr,vbw,obw, wnd_qdelay,wnd_mrange,qdelay,vqdelay,xqdelay,ma(XQ),target,qdFract,brFract,xqFract,incr(ms),status,evt,target(kbps)
0.301395,3,1140,0,0,0,0,474,394,474,1000,0.0,527,527,0,0,0,0,0.0,0.0,50,0,1.20337,0.0,0,0,0,150
0.401331,2,623,0,0,0,0,474,91,91,1000,0.0,527,527,0,0,0,0,0.0,0.0,50,0,1.16516,0.0,0,0,0,151
0.501299,3,1970,0,0,0,0,474,49,49,1000,0.0,527,527,0,0,0,0,0.0,0.0,50,0,1.14978,0.0,0,0,0,152
0.601331,3,2012,0,0,0,0,441,157,157,1000,0.981981,490,490,0,2,2,0,-11.0,0.0,50,0.04,1.1157,0.0,0,0,0,153
0.701331,2,1508,0,0,0,0,411,160,160,1000,0.0,457,457,0,2,0,0,0.0,0.0,50,0,1,0.0,0,0,0,153
0.801299,3,2313,0,0,0,0,411,120,120,1000,1.0,457,457,0,4,4,0,-10.0,0.0,50,0.08,1,0.0,0,0,0,154
0.901331,2,1547,0,0,0,0,386,185,185,1000,0.866025,429,429,0,4,4,0,-9.0,0.0,50,0.08,1,0.0,0,0,0,155
1.0013,3,2482,0,0,0,0,386,123,123,1000,1.0,429,429,0,4,4,0,-8.0,0.0,50,0.08,1,0.0,0,0,0,156
1.10133,3,2753,0,0,0,0,366,198,198,1000,0.944911,406,406,0,4,4,0,-15.0,0.0,50,0.08,1,0.0,0,0,0,156
1.2013,6,3744,0,0,0,0,366,140,140,1000,1.0,406,406,0,5,5,0,-10.0,0.0,50,0.1,1,0.0,0,0,0,157
1.30136,2,1509,0,0,0,0,356,299,299,1000,0.0,396,396,0,5,0,0,0.0,0.0,50,0,1,0.0,0,0,0,158
1.4013,4,2834,0,0,0,0,356,120,120,1000,1.0,396,396,0,5,5,0,-11.0,0.0,50,0.1,1,0.0,0,0,0,159
1.50133,2,1332,0,0,0,0,341,226,226,1000,0.0,379,379,0,5,0,0,0.0,0.0,50,0,1,0.0,0,0,0,160
1.6013,4,3204,0,0,0,0,341,106,106,1000,1.0,379,379,0,5,2,0,-18.0,0.0,50,0.04,1,0.0,0,0,0,160
1.70133,3,2297,0,0,0,0,325,199,199,1000,0.944911,361,361,0,5,5,0,-8.0,0.0,50,0.1,1,0.0,0,0,0,161
1.80133,2,1513,0,0,0,0,309,183,183,1000,0.944911,343,343,0,5,5,0,-14.0,0.0,50,0.1,1,0.0,0,0,0,162
1.9013,3,2226,0,0,0,0,309,121,121,1000,1.0,343,343,0,5,5,0,-12.0,0.0,50,0.1,1,0.0,0,0,0,163
2.00133,3,2746,0,0,0,0,294,178,178,1000,0.944911,326,326,0,5,5,0,-11.0,0.0,50,0.1,1,0.0,0,0,0,164
2.10133,3,1793,0,0,0,0,284,219,219,1000,0.917663,316,316,0,6,6,5,-19.0,0.0,50,0.12,1,0.0,500,0,0,164
2.20133,3,2189,0,0,0,0,284,143,143,1000,0.0,316,316,0,6,0,0,0.0,0.0,50,0,1,0.0,0,0,0,165
2.3013,3,1270,0,0,0,0,284,126,126,1000,1.0,316,316,0,6,5,2,-17.0,0.0,50,0.1,1,0.0,0,0,0,166
2.40133,4,2792,0,0,0,0,284,52,101,1000,0.999424,316,316,0,6,1,0,-10.0,0.0,50,0.02,1.09052,0.0,0,0,0,167
2.50133,3,1504,0,0,0,0,276,223,223,1000,0.0,306,306,0,6,0,0,0.0,0.0,50,0,1.06409,0.0,0,0,0,168
2.60133,3,2563,0,0,0,0,276,120,120,1000,0.0,306,306,0,6,0,0,0.0,0.0,50,0,1.07366,0.0,0,0,0,169
2.70133,3,2126,0,0,0,0,267,205,205,1000,1.0,296,296,0,6,6,3,-17.0,0.0,50,0.12,1.06742,0.0,0,0,0,169
2.80133,3,2291,0,0,0,0,255,170,170,1000,0.989743,284,284,0,6,2,0,-14.0,0.0,50,0.04,1,0.0,0,0,0,170
2.9013,3,2313,0,0,0,0,240,137,116,1000,1.0,267,267,0,6,5,2,-17.0,0.0,50,0.1,0.965883,0.0,0,0,0,171
3.00133,2,1571,0,0,0,0,233,185,185,1000,0.981981,259,259,0,6,5,4,-19.0,0.0,50,0.1,0.973599,0.0,0,0,0,172
3.1013,3,2083,0,0,0,0,233,125,125,1000,1.0,359,259,0,6,5,0,-14.0,0.0,50,0.1,0.965076,0.0,0,0,0,173
3.20133,3,1994,0,0,0,0,233,166,166,1000,0.981981,259,259,0,6,3,0,-12.0,0.0,50,0.06,0.972488,0.0,504,0,0,174
3.30133,3,1962,0,0,0,0,233,159,159,1000,0.935857,259,259,0,6,1,0,-15.0,0.0,50,0.02,1,0.0,606,0,0,175
3.40133,2,1770,0,0,0,0,233,156,156,1000,0.970725,259,259,0,6,4,0,-15.0,0.0,50,0.08,1,0.0,703,0,0,175
3.5013,4,2761,0,0,0,0,222,190,141,1000,1.0,347,247,0,6,6,2,-16.0,0.0,50,0.12,0.938375,0.0,800,0,0,176
3.60133,3,2657,0,0,0,0,213,220,146,1000,0.0,237,237,0,6,0,0,0.0,0.0,50,0,0.830495,0.0,0,0,0,177
3.70133,2,1789,0,0,0,0,211,212,212,1000,1.0,234,234,0,7,7,6,-19.0,0.0,50,0.14,0.868793,0.0,0,0,0,178
3.8013,4,3069,0,0,0,0,211,143,143,1000,1.0,334,234,0,7,7,1,-14.0,0.0,50,0.14,0.866465,0.0,0,0,0,179
3.90133,3,2836,0,0,0,0,205,245,175,1000,0.991241,228,228,0,7,2,1,-19.0,0.0,50,0.04,0.82464,0.0,0,0,0,180
4.00133,4,2362,0,0,0,0,205,226,226,1000,0.0,328,228,0,8,8,4,-16.0,0.0,50,0.16,0.862569,0.0,0,0,0,181
4.10133,2,1612,0,0,0,0,202,188,188,1000,0.991107,424,224,0,8,1,0,-16.0,0.0,50,0.02,0.931173,0.0,0,0,0,182
4.2013,4,2987,0,0,0,0,202,128,128,1000,1.0,324,224,0,8,6,2,-16.0,0.0,50,0.12,0.925009,0.0,0,0,0,183
4.30133,6,3065,0,0,0,0,203,238,238,1000,0.991018,426,226,0,8,2,0,-16.0,0.0,50,0.04,0.931991,0.0,0,0,0,184
4.40136,3,2873,0,0,0,0,198,245,172,1000,0.0,220,220,0,8,0,0,0.0,0.0,50,0,0.909735,0.0,0,0,0,184
4.50133,3,1894,0,0,0,0,199,229,229,1000,nan,321,221,0,8,8,4,-16.0,0.0,50,0.16,0.92984,0.0,0,0,0,185
4.60133,3,2668,0,0,0,0,199,151,151,1000,0.989589,221,221,0,8,1,0,-14.0,0.0,50,0.02,0.916351,0.0,0,0,0,186
4.7013,4,2816,0,0,0,0,199,148,148,1000,1.0,321,221,0,8,7,2,-15.0,0.0,50,0.14,0.906585,0.0,0,0,0,187
4.80133,3,2818,0,0,0,0,199,225,225,1000,0.971764,222,222,0,8,1,1,-20.0,0.0,50,0.02,0.927623,0.0,0,0,0,188
4.9013,5,3868,0,0,0,0,192,156,145,1000,nan,314,214,0,8,8,2,-14.0,0.0,50,0.16,0.98815,0.0,0,0,0,189
5.00136,4,2707,0,0,0,0,201,229,309,1000,0.8758,323,223,0,8,1,0,-3.0,0.0,50,0.02,1.07596,0.0,0,2,2,401
5.10133,4,2557,0,0,0,0,201,150,150,1000,0.983783,223,223,0,8,1,0,-13.0,0.0,50,0.02,1.09083,0.0,0,2,0,401
5.20133,8,7282,0,0,0,0,201,204,204,1000,0.0,223,223,0,8,0,0,0.0,0.0,50,0,1.07161,0.0,0,2,0,401
5.30139,6,4650,0,0,0,0,226,502,502,1000,0.114998,651,251,0,8,5,0,-12.0,0.0,50,0.1,1.07357,0.0,0,2,0,401
5.40136,5,4541,0,0,0,0,226,372,372,1000,0.761249,351,251,0,8,3,3,-20.0,0.0,50,0.06,1.05482,0.0,0,2,0,401
5.50136,6,4720,0,0,0,0,226,363,363,1000,0.25,451,251,0,8,6,0,-11.0,0.0,50,0.12,1,0.0,0,2,0,401
5.60136,4,3407,0,0,0,0,226,377,377,1000,0.695446,451,251,0,8,4,0,-4.0,0.0,50,0.08,1,0.0,0,2,0,401
5.70133,9,7404,0,0,0,0,226,272,272,1000,0.904534,351,251,0,8,6,0,-11.0,0.0,50,0.12,1,0.0,0,2,0,401
5.80139,8,6666,0,0,0,0,250,512,512,1000,0.638444,577,277,0,8,1,0,-18.0,0.0,50,0.02,1,0.0,0,2,0,401
