time(s),rem_pkt,rem_bytes,q_pkt,q_bytes,q_ms, lost, est-bw(kbps),txed(kbps),rxed(kbps),topo(kbps), corr,vbw,obw, wnd_qdelay,wnd_mrange,qdelay,vqdelay,xqdelay,ma(XQ),target,qdFract,brFract,xqFract,incr(ms),status,evt,target(kbps)
0.322027,5,1865,5,3892,62,0,416,416,416,500,0.0,462,462,0,0,0,0,0.0,0.0,50,0,1,0.0,0,0,0,150
0.421963,5,1870,5,3866,61,0,416,85,85,500,0.970725,462,462,0,53,53,0,47.0,47.0,50,1.06,1,0.94,0,0,0,150
0.521963,4,2307,4,3588,57,0,416,55,84,500,0.998297,462,462,0,53,48,0,44.0,46.7,50,0.96,1.05294,0.88,0,0,0,150
0.621899,6,4154,4,3749,59,0,416,64,64,500,1.0,462,462,0,53,43,0,36.0,45.63,50,0.86,1.04744,0.72,0,0,0,150
0.721963,5,3478,5,4832,77,0,391,182,182,500,0.945494,434,434,0,53,42,0,28.0,43.867,50,0.84,1.07597,0.56,0,0,0,150
0.821963,4,3071,5,4748,75,0,391,149,149,500,0.617281,434,434,0,53,45,0,31.0,42.5803,50,0.9,1.06525,0.62,0,0,0,150
0.921899,5,3678,5,4690,75,0,391,128,128,500,1.0,434,434,0,57,57,0,43.0,42.6223,50,1.14,1.05082,0.86,505,0,0,150
1.0219,6,4836,7,6370,101,0,391,117,117,500,1.0,434,434,0,61,61,6,35.0,41.86,50,1.22,1,0.7,592,0,0,150
1.12196,6,4533,7,6876,110,0,367,177,177,500,0.953821,408,408,0,65,65,0,52.0,42.874,50,1.3,1,1.04,688,0,0,150
1.2219,8,5279,8,6877,110,0,343,191,134,500,1.0,381,381,0,73,73,17,36.0,42.1866,50,1.46,0.925484,0.72,777,0,0,150
1.32196,8,5019,9,7755,124,0,328,215,215,500,0.449252,364,364,0,93,93,27,46.0,42.568,50,1.86,0.931354,0.92,870,0,0,150
1.42196,6,4881,10,9610,153,0,308,226,147,500,0.448833,343,343,0,95,95,51,24.0,40.7112,50,1.9,0.852784,0.48,942,3,3,150
1.5219,7,5530,10,9401,150,0,308,194,114,500,1.0,343,343,0,124,124,75,29.0,39.5401,50,2.48,0.784317,0.58,1035,3,3,150
1.62196,7,5133,11,10460,167,0,308,206,206,500,0.997366,343,343,0,126,126,67,39.0,39.486,50,2.52,0.790417,0.78,1125,3,3,150
1.7219,7,5385,11,10381,166,0,308,98,98,500,1.0,343,343,0,133,133,78,35.0,39.0374,50,2.66,0.830091,0.7,1232,3,3,150
1.8219,8,5830,12,10812,172,0,308,137,137,500,1.0,343,343,0,139,139,88,31.0,38.2337,50,2.78,0.814866,0.62,1321,3,3,150
